,tile_name,tile_path,tile_dimensions,NW_coordinates_lonlat_tile,SE_coordinates_lonlat_tile
39,m_3209041_ne_15_060_20181127,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3209041_ne_15_060_20181127.tif,"[11576, 11801, 4]","[-90.94057074156827, 32.37744554456391]","[-90.87188919896123, 32.310073607642174]"
40,m_4309354_sw_15_060_20190828,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4309354_sw_15_060_20190828.tif,"[11093, 11467, 4]","[-93.37909066389832, 43.19089324004521]","[-93.30797703734953, 43.12209921024587]"
41,m_3209714_se_14_060_20181120,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3209714_se_14_060_20181120.tif,"[11487, 11687, 4]","[-97.3153385128089, 32.814756162404095]","[-97.24714746452646, 32.74773216954322]"
42,m_2909836_ne_14_060_20181102,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_2909836_ne_14_060_20181102.tif,"[11401, 11499, 4]","[-98.56437955299447, 29.501598697991078]","[-98.49811818242401, 29.43590208775424]"
43,m_3709560_sw_15_060_20190718,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3709560_sw_15_060_20190718.tif,"[11845, 12327, 4]","[-95.63062437546957, 37.06714396541727]","[-95.55642663821783, 36.99584768113935]"
44,m_3408719_nw_16_060_20190908,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3408719_nw_16_060_20190908.tif,"[11307, 11494, 4]","[-87.75277824116702, 34.75220249660147]","[-87.68478506558799, 34.6853156225828]"
45,m_4811222_nw_12_060_20190730,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4811222_nw_12_060_20190730.tif,"[10470, 11038, 4]","[-112.37945183823241, 48.752582382597424]","[-112.30811722823012, 48.684918884172674]"
46,m_4010858_nw_12_060_20190827,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4010858_nw_12_060_20190827.tif,"[11342, 11793, 4]","[-108.87937770340973, 40.12803362834728]","[-108.80811715709487, 40.0594985320314]"
47,m_3509649_nw_14_060_20190711,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3509649_nw_14_060_20190711.tif,"[11782, 12320, 4]","[-97.00487163497509, 35.25380911536588]","[-96.9320635836574, 35.184180764641496]"
48,m_4207318_ne_18_060_20190805,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4207318_ne_18_060_20190805.tif,"[10980, 11379, 4]","[-73.81617805220216, 42.75249836329778]","[-73.74623364354352, 42.68500674239225]"
