X,Y,FID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,VDist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period_,Latitude,Longitude,Link_Impor
-120.51108,34.930191,105,489,SANTA MARIA REFINING COMPANY,GREKA ENERGY,Santa Maria,California,5,10,10,0,0,0,0,0,0,0,6.3,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,34.930191,-120.51108,0
-107.109511,41.780163,106,496,SINCLAIR WYOMING REFINING CO,SINCLAIR OIL CORP,Sinclair,Wyoming,4,92,51,22,15,0,13,5,74,20,8,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,41.780163,-107.109511,1
-95.999949,36.116749,107,497,HOLLYFRONTIER TULSA REFINING LLC,HOLLYFRONTIER CORP,Tulsa East,Oklahoma,2,75.5,27,27,0,0,25,18.5,99,0,15.2,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,36.116749,-95.999949,1
-106.242437,42.858453,108,499,LITTLE AMERICA REFINING CO,SINCLAIR OIL CORP,Evansville,Wyoming,4,25.5,0,12,0,0,5,0,24.5,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,42.858453,-106.242437,0
-91.748001,30.526508,109,501,ALON REFINING KROTZ SPRINGS INC,DELEK GROUP LTD,Krotz Springs,Louisiana,3,83,36.2,34,0,0,13,6.2,32,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,30.526508,-91.748001,1
-95.255585,29.722805,110,502,VALERO REFINING CO TEXAS LP,VALERO ENERGY CORP,Houston,Texas,3,210,38,75,71.9,0,0,12.5,58.6,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.722805,-95.255585,1
-94.895337,29.378096,111,503,VALERO REFINING CO TEXAS LP,VALERO ENERGY CORP,Texas City,Texas,3,231,133.5,86,0,0,18.1,21.2,286,53.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.378096,-94.895337,1
-90.892547,30.107774,112,505,SHELL OIL PRODUCTS US,ROYAL DUTCH/SHELL GROUP,Convent,Louisiana,3,260,116.3,92.3,54.5,0,46,38.7,265.8,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,30.107774,-90.892547,1
-75.631323,39.587733,113,506,DELAWARE CITY REFINING CO LLC,PBF ENERGY CO LLC,Delaware City,Delaware,1,190.2,104.6,86,22.3,0,43.8,17.7,151.5,54.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,39.587733,-75.631323,1
-93.960709,29.884891,114,507,Motiva Enterprises LLC,SAUDI ARAMCO,Port Arthur,Texas,3,639.7,331.8,92.6,107,0,129.5,69.6,544.8,178,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.884891,-93.960709,1
