,tile_name,tile_path,tile_heights,tile_widths,tile_bands,min_utmx,min_utmy,max_utmx,max_utmy,utm_projection,min_lon_tile,min_lat_tile,max_lon_tile,max_lat_tile
29,m_4007431_sw_18_060_20190917,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4007431_sw_18_060_20190917.tif,12310,9590,4,563292.3,4490711.7,569045.7000000001,4483326.3,EPSG:26918,-74.25232979275158,40.56476017158753,-74.18517757093794,40.49777222592174
30,m_3808916_se_16_060_20190713,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3808916_se_16_060_20190713.tif,12853,10236,4,320513.1,4298344.5,326654.1,4290633.3,EPSG:26916,-89.0673418155615,38.815604184270455,-88.99471350612804,38.74738544233845
31,m_4107211_se_18_060_20180930,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4107211_se_18_060_20180930.tif,12803,9973,4,691782.9,4631985.3,697766.1,4624304.1,EPSG:26918,-72.69096518753798,41.81654673162205,-72.62154467284797,41.745951670392614
32,m_3209610_se_14_060_20181126,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3209610_se_14_060_20181126.tif,12270,10510,4,704646.3,3632897.7,710951.7000000001,3625536.3000000003,EPSG:26914,-96.81406828296154,32.81503032415501,-96.74843415429324,32.74748306880604
33,m_3809742_ne_14_060_20190712,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3809742_ne_14_060_20190712.tif,12586,10182,4,603471.9,4248462.3,609580.5,4240911.3,EPSG:26914,-97.81537559275544,38.3783774437477,-97.74662793384292,38.309613888872214
34,m_3909461_nw_15_060_20180922,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3909461_nw_15_060_20180922.tif,12708,10196,4,369923.7,4332019.5,376040.7,4324395.3,EPSG:26915,-94.50485081599454,39.12764284121876,-94.43271379210779,39.059853147407544
35,m_4211204_se_12_060_20190718,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4211204_se_12_060_20190718.tif,12390,9380,4,372186.3,4755257.7,377813.7,4747824.3,EPSG:26912,-112.56654840190593,42.939237344912584,-112.49598038383463,42.873243687612096
36,m_3809023_se_15_060_20190923,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3809023_se_15_060_20190923.tif,12934,10355,4,744371.1000000001,4286377.5,750583.5000000001,4278617.7,EPSG:26915,-90.19027298197491,38.692285590646335,-90.12172562006934,38.62070631832904
37,m_4711954_ne_11_060_20190730,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4711954_ne_11_060_20190730.tif,12480,8890,4,324612.3,5235743.7,329945.7,5228256.3,EPSG:26911,-119.31791408477184,47.251723105634596,-119.24464015749228,47.18580391961308
38,m_3511940_se_11_060_20180713,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3511940_se_11_060_20180713.tif,12260,10200,4,312492.3,3923669.7,318611.7,3916314.3000000003,EPSG:26911,-119.06578385082564,35.438828187659915,-118.99676725182528,35.37368067658306
